table_name,column_name,data_type,is_nullable,character_maximum_length,numeric_precision,datetime_precision,column_default
administrable_role_authorizations,grantee,name,YES,,,,
administrable_role_authorizations,is_grantable,character varying,YES,3,,,
administrable_role_authorizations,role_name,name,YES,,,,
applicable_roles,grantee,name,YES,,,,
applicable_roles,is_grantable,character varying,YES,3,,,
applicable_roles,role_name,name,YES,,,,
attributes,attribute_default,character varying,YES,,,,
attributes,attribute_name,name,YES,,,,
attributes,attribute_udt_catalog,name,YES,,,,
attributes,attribute_udt_name,name,YES,,,,
attributes,attribute_udt_schema,name,YES,,,,
attributes,character_maximum_length,integer,YES,,32,,
attributes,character_octet_length,integer,YES,,32,,
attributes,character_set_catalog,name,YES,,,,
attributes,character_set_name,name,YES,,,,
attributes,character_set_schema,name,YES,,,,
attributes,collation_catalog,name,YES,,,,
attributes,collation_name,name,YES,,,,
attributes,collation_schema,name,YES,,,,
attributes,data_type,character varying,YES,,,,
attributes,datetime_precision,integer,YES,,32,,
attributes,dtd_identifier,name,YES,,,,
attributes,interval_precision,integer,YES,,32,,
attributes,interval_type,character varying,YES,,,,
attributes,is_derived_reference_attribute,character varying,YES,3,,,
attributes,is_nullable,character varying,YES,3,,,
attributes,maximum_cardinality,integer,YES,,32,,
attributes,numeric_precision,integer,YES,,32,,
attributes,numeric_precision_radix,integer,YES,,32,,
attributes,numeric_scale,integer,YES,,32,,
attributes,ordinal_position,integer,YES,,32,,
attributes,scope_catalog,name,YES,,,,
attributes,scope_name,name,YES,,,,
attributes,scope_schema,name,YES,,,,
attributes,udt_catalog,name,YES,,,,
attributes,udt_name,name,YES,,,,
attributes,udt_schema,name,YES,,,,
auth_group,id,integer,NO,,32,,
auth_group,name,character varying,NO,150,,,
auth_group,zzz CONSTRAINT: auth_group_pkey,PRIMARY KEY,,0,0,0,
auth_group_permissions,group_id,integer,NO,,32,,
auth_group_permissions,id,integer,NO,,32,,
auth_group_permissions,permission_id,integer,NO,,32,,
auth_group_permissions,zzz CONSTRAINT: auth_group_permissio_permission_id_84c5c92e_fk_,FOREIGN KEY,,0,0,0,
auth_group_permissions,zzz CONSTRAINT: auth_group_permissions_group_id_b120cbf9_fk_aut,FOREIGN KEY,,0,0,0,
auth_group_permissions,zzz CONSTRAINT: auth_group_permissions_pkey,PRIMARY KEY,,0,0,0,
auth_permission,codename,character varying,NO,100,,,
auth_permission,content_type_id,integer,NO,,32,,
auth_permission,id,integer,NO,,32,,
auth_permission,name,character varying,NO,255,,,
auth_permission,zzz CONSTRAINT: auth_permission_content_type_id_2f476e4b_fk_dja,FOREIGN KEY,,0,0,0,
auth_permission,zzz CONSTRAINT: auth_permission_pkey,PRIMARY KEY,,0,0,0,
auth_user,date_joined,timestamp with time zone,NO,,,6,
auth_user,email,character varying,NO,254,,,
auth_user,first_name,character varying,NO,150,,,
auth_user,id,integer,NO,,32,,
auth_user,is_active,boolean,NO,,,,
auth_user,is_staff,boolean,NO,,,,
auth_user,is_superuser,boolean,NO,,,,
auth_user,last_login,timestamp with time zone,YES,,,6,
auth_user,last_name,character varying,NO,150,,,
auth_user,password,character varying,NO,128,,,
auth_user,username,character varying,NO,150,,,
auth_user,zzz CONSTRAINT: auth_user_pkey,PRIMARY KEY,,0,0,0,
auth_user_groups,group_id,integer,NO,,32,,
auth_user_groups,id,integer,NO,,32,,
auth_user_groups,user_id,integer,NO,,32,,
auth_user_groups,zzz CONSTRAINT: auth_user_groups_group_id_97559544_fk_auth_grou,FOREIGN KEY,,0,0,0,
auth_user_groups,zzz CONSTRAINT: auth_user_groups_pkey,PRIMARY KEY,,0,0,0,
auth_user_groups,zzz CONSTRAINT: auth_user_groups_user_id_6a12ed8b_fk_auth_user_,FOREIGN KEY,,0,0,0,
auth_user_user_permissions,id,integer,NO,,32,,
auth_user_user_permissions,permission_id,integer,NO,,32,,
auth_user_user_permissions,user_id,integer,NO,,32,,
auth_user_user_permissions,zzz CONSTRAINT: auth_user_user_permi_permission_id_1fbb5f2c_fk_,FOREIGN KEY,,0,0,0,
auth_user_user_permissions,zzz CONSTRAINT: auth_user_user_permissions_pkey,PRIMARY KEY,,0,0,0,
auth_user_user_permissions,zzz CONSTRAINT: auth_user_user_permissions_user_id_a95ead1b_fk_,FOREIGN KEY,,0,0,0,
character_sets,character_repertoire,name,YES,,,,
character_sets,character_set_catalog,name,YES,,,,
character_sets,character_set_name,name,YES,,,,
character_sets,character_set_schema,name,YES,,,,
character_sets,default_collate_catalog,name,YES,,,,
character_sets,default_collate_name,name,YES,,,,
character_sets,default_collate_schema,name,YES,,,,
character_sets,form_of_use,name,YES,,,,
check_constraint_routine_usage,constraint_catalog,name,YES,,,,
check_constraint_routine_usage,constraint_name,name,YES,,,,
check_constraint_routine_usage,constraint_schema,name,YES,,,,
check_constraint_routine_usage,specific_catalog,name,YES,,,,
check_constraint_routine_usage,specific_name,name,YES,,,,
check_constraint_routine_usage,specific_schema,name,YES,,,,
check_constraints,check_clause,character varying,YES,,,,
check_constraints,constraint_catalog,name,YES,,,,
check_constraints,constraint_name,name,YES,,,,
check_constraints,constraint_schema,name,YES,,,,
collation_character_set_applicability,character_set_catalog,name,YES,,,,
collation_character_set_applicability,character_set_name,name,YES,,,,
collation_character_set_applicability,character_set_schema,name,YES,,,,
collation_character_set_applicability,collation_catalog,name,YES,,,,
collation_character_set_applicability,collation_name,name,YES,,,,
collation_character_set_applicability,collation_schema,name,YES,,,,
collations,collation_catalog,name,YES,,,,
collations,collation_name,name,YES,,,,
collations,collation_schema,name,YES,,,,
collations,pad_attribute,character varying,YES,,,,
column_column_usage,column_name,name,YES,,,,
column_column_usage,dependent_column,name,YES,,,,
column_column_usage,table_catalog,name,YES,,,,
column_column_usage,table_name,name,YES,,,,
column_column_usage,table_schema,name,YES,,,,
column_domain_usage,column_name,name,YES,,,,
column_domain_usage,domain_catalog,name,YES,,,,
column_domain_usage,domain_name,name,YES,,,,
column_domain_usage,domain_schema,name,YES,,,,
column_domain_usage,table_catalog,name,YES,,,,
column_domain_usage,table_name,name,YES,,,,
column_domain_usage,table_schema,name,YES,,,,
column_options,column_name,name,YES,,,,
column_options,option_name,name,YES,,,,
column_options,option_value,character varying,YES,,,,
column_options,table_catalog,name,YES,,,,
column_options,table_name,name,YES,,,,
column_options,table_schema,name,YES,,,,
column_privileges,column_name,name,YES,,,,
column_privileges,grantee,name,YES,,,,
column_privileges,grantor,name,YES,,,,
column_privileges,is_grantable,character varying,YES,3,,,
column_privileges,privilege_type,character varying,YES,,,,
column_privileges,table_catalog,name,YES,,,,
column_privileges,table_name,name,YES,,,,
column_privileges,table_schema,name,YES,,,,
column_udt_usage,column_name,name,YES,,,,
column_udt_usage,table_catalog,name,YES,,,,
column_udt_usage,table_name,name,YES,,,,
column_udt_usage,table_schema,name,YES,,,,
column_udt_usage,udt_catalog,name,YES,,,,
column_udt_usage,udt_name,name,YES,,,,
column_udt_usage,udt_schema,name,YES,,,,
columns,character_maximum_length,integer,YES,,32,,
columns,character_octet_length,integer,YES,,32,,
columns,character_set_catalog,name,YES,,,,
columns,character_set_name,name,YES,,,,
columns,character_set_schema,name,YES,,,,
columns,collation_catalog,name,YES,,,,
columns,collation_name,name,YES,,,,
columns,collation_schema,name,YES,,,,
columns,column_default,character varying,YES,,,,
columns,column_name,name,YES,,,,
columns,data_type,character varying,YES,,,,
columns,datetime_precision,integer,YES,,32,,
columns,domain_catalog,name,YES,,,,
columns,domain_name,name,YES,,,,
columns,domain_schema,name,YES,,,,
columns,dtd_identifier,name,YES,,,,
columns,generation_expression,character varying,YES,,,,
columns,identity_cycle,character varying,YES,3,,,
columns,identity_generation,character varying,YES,,,,
columns,identity_increment,character varying,YES,,,,
columns,identity_maximum,character varying,YES,,,,
columns,identity_minimum,character varying,YES,,,,
columns,identity_start,character varying,YES,,,,
columns,interval_precision,integer,YES,,32,,
columns,interval_type,character varying,YES,,,,
columns,is_generated,character varying,YES,,,,
columns,is_identity,character varying,YES,3,,,
columns,is_nullable,character varying,YES,3,,,
columns,is_self_referencing,character varying,YES,3,,,
columns,is_updatable,character varying,YES,3,,,
columns,maximum_cardinality,integer,YES,,32,,
columns,numeric_precision,integer,YES,,32,,
columns,numeric_precision_radix,integer,YES,,32,,
columns,numeric_scale,integer,YES,,32,,
columns,ordinal_position,integer,YES,,32,,
columns,scope_catalog,name,YES,,,,
columns,scope_name,name,YES,,,,
columns,scope_schema,name,YES,,,,
columns,table_catalog,name,YES,,,,
columns,table_name,name,YES,,,,
columns,table_schema,name,YES,,,,
columns,udt_catalog,name,YES,,,,
columns,udt_name,name,YES,,,,
columns,udt_schema,name,YES,,,,
constraint_column_usage,column_name,name,YES,,,,
constraint_column_usage,constraint_catalog,name,YES,,,,
constraint_column_usage,constraint_name,name,YES,,,,
constraint_column_usage,constraint_schema,name,YES,,,,
constraint_column_usage,table_catalog,name,YES,,,,
constraint_column_usage,table_name,name,YES,,,,
constraint_column_usage,table_schema,name,YES,,,,
constraint_table_usage,constraint_catalog,name,YES,,,,
constraint_table_usage,constraint_name,name,YES,,,,
constraint_table_usage,constraint_schema,name,YES,,,,
constraint_table_usage,table_catalog,name,YES,,,,
constraint_table_usage,table_name,name,YES,,,,
constraint_table_usage,table_schema,name,YES,,,,
corsheaders_corsmodel,cors,character varying,NO,255,,,
corsheaders_corsmodel,id,integer,NO,,32,,
corsheaders_corsmodel,zzz CONSTRAINT: corsheaders_corsmodel_pkey,PRIMARY KEY,,0,0,0,
data_type_privileges,dtd_identifier,name,YES,,,,
data_type_privileges,object_catalog,name,YES,,,,
data_type_privileges,object_name,name,YES,,,,
data_type_privileges,object_schema,name,YES,,,,
data_type_privileges,object_type,character varying,YES,,,,
django_admin_log,action_flag,smallint,NO,,16,,
django_admin_log,action_time,timestamp with time zone,NO,,,6,
django_admin_log,change_message,text,NO,,,,
django_admin_log,content_type_id,integer,YES,,32,,
django_admin_log,id,integer,NO,,32,,
django_admin_log,object_id,text,YES,,,,
django_admin_log,object_repr,character varying,NO,200,,,
django_admin_log,user_id,integer,NO,,32,,
django_admin_log,zzz CONSTRAINT: django_admin_log_content_type_id_c4bce8eb_fk_dj,FOREIGN KEY,,0,0,0,
django_admin_log,zzz CONSTRAINT: django_admin_log_pkey,PRIMARY KEY,,0,0,0,
django_admin_log,zzz CONSTRAINT: django_admin_log_user_id_c564eba6_fk_auth_user_,FOREIGN KEY,,0,0,0,
django_celery_beat_clockedschedule,clocked_time,timestamp with time zone,NO,,,6,
django_celery_beat_clockedschedule,id,integer,NO,,32,,
django_celery_beat_clockedschedule,zzz CONSTRAINT: django_celery_beat_clockedschedule_pkey,PRIMARY KEY,,0,0,0,
django_celery_beat_crontabschedule,day_of_month,character varying,NO,124,,,
django_celery_beat_crontabschedule,day_of_week,character varying,NO,64,,,
django_celery_beat_crontabschedule,hour,character varying,NO,96,,,
django_celery_beat_crontabschedule,id,integer,NO,,32,,
django_celery_beat_crontabschedule,minute,character varying,NO,240,,,
django_celery_beat_crontabschedule,month_of_year,character varying,NO,64,,,
django_celery_beat_crontabschedule,timezone,character varying,NO,63,,,
django_celery_beat_crontabschedule,zzz CONSTRAINT: django_celery_beat_crontabschedule_pkey,PRIMARY KEY,,0,0,0,
django_celery_beat_intervalschedule,every,integer,NO,,32,,
django_celery_beat_intervalschedule,id,integer,NO,,32,,
django_celery_beat_intervalschedule,period,character varying,NO,24,,,
django_celery_beat_intervalschedule,zzz CONSTRAINT: django_celery_beat_intervalschedule_pkey,PRIMARY KEY,,0,0,0,
django_celery_beat_periodictask,args,text,NO,,,,
django_celery_beat_periodictask,clocked_id,integer,YES,,32,,
django_celery_beat_periodictask,crontab_id,integer,YES,,32,,
django_celery_beat_periodictask,date_changed,timestamp with time zone,NO,,,6,
django_celery_beat_periodictask,description,text,NO,,,,
django_celery_beat_periodictask,enabled,boolean,NO,,,,
django_celery_beat_periodictask,exchange,character varying,YES,200,,,
django_celery_beat_periodictask,expire_seconds,integer,YES,,32,,
django_celery_beat_periodictask,expires,timestamp with time zone,YES,,,6,
django_celery_beat_periodictask,headers,text,NO,,,,
django_celery_beat_periodictask,id,integer,NO,,32,,
django_celery_beat_periodictask,interval_id,integer,YES,,32,,
django_celery_beat_periodictask,kwargs,text,NO,,,,
django_celery_beat_periodictask,last_run_at,timestamp with time zone,YES,,,6,
django_celery_beat_periodictask,name,character varying,NO,200,,,
django_celery_beat_periodictask,one_off,boolean,NO,,,,
django_celery_beat_periodictask,priority,integer,YES,,32,,
django_celery_beat_periodictask,queue,character varying,YES,200,,,
django_celery_beat_periodictask,routing_key,character varying,YES,200,,,
django_celery_beat_periodictask,solar_id,integer,YES,,32,,
django_celery_beat_periodictask,start_time,timestamp with time zone,YES,,,6,
django_celery_beat_periodictask,task,character varying,NO,200,,,
django_celery_beat_periodictask,total_run_count,integer,NO,,32,,
django_celery_beat_periodictask,zzz CONSTRAINT: django_celery_beat_p_clocked_id_47a69f82_fk_dja,FOREIGN KEY,,0,0,0,
django_celery_beat_periodictask,zzz CONSTRAINT: django_celery_beat_p_crontab_id_d3cba168_fk_dja,FOREIGN KEY,,0,0,0,
django_celery_beat_periodictask,zzz CONSTRAINT: django_celery_beat_p_interval_id_a8ca27da_fk_dj,FOREIGN KEY,,0,0,0,
django_celery_beat_periodictask,zzz CONSTRAINT: django_celery_beat_p_solar_id_a87ce72c_fk_djang,FOREIGN KEY,,0,0,0,
django_celery_beat_periodictask,zzz CONSTRAINT: django_celery_beat_periodictask_pkey,PRIMARY KEY,,0,0,0,
django_celery_beat_periodictasks,ident,smallint,NO,,16,,
django_celery_beat_periodictasks,last_update,timestamp with time zone,NO,,,6,
django_celery_beat_periodictasks,zzz CONSTRAINT: django_celery_beat_periodictasks_pkey,PRIMARY KEY,,0,0,0,
django_celery_beat_solarschedule,event,character varying,NO,24,,,
django_celery_beat_solarschedule,id,integer,NO,,32,,
django_celery_beat_solarschedule,latitude,numeric,NO,,9,,
django_celery_beat_solarschedule,longitude,numeric,NO,,9,,
django_celery_beat_solarschedule,zzz CONSTRAINT: django_celery_beat_solarschedule_pkey,PRIMARY KEY,,0,0,0,
django_content_type,app_label,character varying,NO,100,,,
django_content_type,id,integer,NO,,32,,
django_content_type,model,character varying,NO,100,,,
django_content_type,zzz CONSTRAINT: django_content_type_pkey,PRIMARY KEY,,0,0,0,
django_migrations,app,character varying,NO,255,,,
django_migrations,applied,timestamp with time zone,NO,,,6,
django_migrations,id,integer,NO,,32,,
django_migrations,name,character varying,NO,255,,,
django_migrations,zzz CONSTRAINT: django_migrations_pkey,PRIMARY KEY,,0,0,0,
django_session,expire_date,timestamp with time zone,NO,,,6,
django_session,session_data,text,NO,,,,
django_session,session_key,character varying,NO,40,,,
django_session,zzz CONSTRAINT: django_session_pkey,PRIMARY KEY,,0,0,0,
domain_constraints,constraint_catalog,name,YES,,,,
domain_constraints,constraint_name,name,YES,,,,
domain_constraints,constraint_schema,name,YES,,,,
domain_constraints,domain_catalog,name,YES,,,,
domain_constraints,domain_name,name,YES,,,,
domain_constraints,domain_schema,name,YES,,,,
domain_constraints,initially_deferred,character varying,YES,3,,,
domain_constraints,is_deferrable,character varying,YES,3,,,
domain_udt_usage,domain_catalog,name,YES,,,,
domain_udt_usage,domain_name,name,YES,,,,
domain_udt_usage,domain_schema,name,YES,,,,
domain_udt_usage,udt_catalog,name,YES,,,,
domain_udt_usage,udt_name,name,YES,,,,
domain_udt_usage,udt_schema,name,YES,,,,
domains,character_maximum_length,integer,YES,,32,,
domains,character_octet_length,integer,YES,,32,,
domains,character_set_catalog,name,YES,,,,
domains,character_set_name,name,YES,,,,
domains,character_set_schema,name,YES,,,,
domains,collation_catalog,name,YES,,,,
domains,collation_name,name,YES,,,,
domains,collation_schema,name,YES,,,,
domains,data_type,character varying,YES,,,,
domains,datetime_precision,integer,YES,,32,,
domains,domain_catalog,name,YES,,,,
domains,domain_default,character varying,YES,,,,
domains,domain_name,name,YES,,,,
domains,domain_schema,name,YES,,,,
domains,dtd_identifier,name,YES,,,,
domains,interval_precision,integer,YES,,32,,
domains,interval_type,character varying,YES,,,,
domains,maximum_cardinality,integer,YES,,32,,
domains,numeric_precision,integer,YES,,32,,
domains,numeric_precision_radix,integer,YES,,32,,
domains,numeric_scale,integer,YES,,32,,
domains,scope_catalog,name,YES,,,,
domains,scope_name,name,YES,,,,
domains,scope_schema,name,YES,,,,
domains,udt_catalog,name,YES,,,,
domains,udt_name,name,YES,,,,
domains,udt_schema,name,YES,,,,
element_types,character_maximum_length,integer,YES,,32,,
